MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
513163,47,12,16,8,11,56,61,36,16,55,10,117,32917,3814,500049,1301,95,6,Solano
510869,13,3,6,2,2,16,16,8,4,15,5,32,32097,3862,500102,1301,95,6,Solano
516880,11,2,4,2,3,15,16,9,4,15,3,31,33838,3800,500035,1301,95,6,Solano
513248,573,253,194,65,61,521,602,262,272,472,117,1123,32933,3908,500151,1301,95,6,Solano
518921,122,31,47,21,23,147,155,71,38,150,43,302,34268,3862,500102,1301,95,6,Solano
513746,83,13,31,15,24,117,118,68,33,110,24,235,33046,3800,500035,1301,95,6,Solano
511587,101,16,37,19,29,143,143,82,40,135,29,286,32403,3800,500035,1301,95,6,Solano
513247,47,5,17,11,14,69,70,40,15,71,13,139,32932,3880,500121,1301,95,6,Solano
512747,39,4,14,9,12,57,59,33,13,59,11,116,32811,3880,500121,1301,95,6,Solano
513251,52,6,18,12,16,76,78,45,17,77,15,154,32936,3880,500121,1301,95,6,Solano
519045,34,4,12,8,10,50,51,29,11,51,10,101,34289,3880,500121,1301,95,6,Solano
512748,141,15,50,33,43,207,211,121,46,211,40,418,32812,3880,500121,1301,95,6,Solano
510566,197,30,74,36,57,279,279,161,78,263,56,558,31963,3800,500035,1301,95,6,Solano
516082,69,17,24,12,16,82,90,52,24,82,14,172,33623,3814,500049,1301,95,6,Solano
512749,125,56,42,14,13,114,131,57,59,104,25,245,32813,3908,500151,1301,95,6,Solano
516361,48,12,17,8,11,57,63,36,17,57,10,120,33708,3814,500049,1301,95,6,Solano
519164,39,10,13,7,9,46,51,30,14,45,8,97,34307,3814,500049,1301,95,6,Solano
520143,43,11,14,8,10,51,56,33,15,50,9,107,34473,3814,500049,1301,95,6,Solano
516580,23,7,7,4,5,27,29,15,10,27,4,56,33772,3866,500106,1301,95,6,Solano
510147,17,1,7,4,5,26,24,15,6,24,5,50,31750,3869,500109,1301,95,6,Solano
510867,34,3,13,8,10,52,49,30,12,49,10,101,32096,3869,500109,1301,95,6,Solano
